W T
19069.2 0.527793
19072.5 0.527685
19075.8 0.527576
19079.1 0.527468
19082.4 0.52736
19085.7 0.527252
19089 0.527144
19092.3 0.527037
19095.6 0.526929
19098.8 0.526822
19102.1 0.526715
19105.4 0.526608
19108.7 0.526501
19112 0.526394
19115.3 0.526287
19118.6 0.526181
19121.9 0.526075
19125.2 0.525968
19128.5 0.525862
19131.8 0.525756
19135.1 0.52565
19138.4 0.525545
19141.7 0.525439
19145 0.525334
19148.3 0.525228
19151.6 0.525123
19154.9 0.525018
19158.2 0.524913
19161.4 0.524809
19164.7 0.524704
19168 0.524599
19171.3 0.524495
19174.6 0.524391
19177.9 0.524287
19181.2 0.524183
19184.5 0.524079
19187.8 0.523975
19191.1 0.523872
19194.4 0.523768
19197.7 0.523665
19201 0.523562
19204.3 0.523459
19207.6 0.523356
19210.9 0.523253
19214.2 0.523151
19217.5 0.523048
19220.8 0.522946
19224.1 0.522844
19227.3 0.522742
19230.6 0.52264
19233.9 0.522538
19237.2 0.522437
19240.5 0.522335
19243.8 0.522234
19247.1 0.522133
19250.4 0.522032
19253.7 0.521932
19257 0.521831
19260.3 0.521731
19263.6 0.52163
19266.9 0.52153
19270.2 0.521431
19273.5 0.521331
19276.8 0.521232
19280.1 0.521133
19283.4 0.521034
19286.7 0.520935
19290 0.520837
19293.2 0.520739
19296.5 0.520641
19299.8 0.520543
19303.1 0.520446
19306.4 0.520349
19309.7 0.520253
19313 0.520157
19316.3 0.520062
19319.6 0.519967
19322.9 0.519873
19326.2 0.51978
19329.5 0.519689
19332.8 0.519599
19336.1 0.519535
19339.4 0.519519
19342.7 0.519499
19346 0.519478
19349.3 0.519455
19352.6 0.519432
19355.8 0.519408
19359.1 0.519384
19362.4 0.519359
19365.7 0.519333
19369 0.519307
19372.3 0.519281
19375.6 0.519255
19378.9 0.519228
19382.2 0.519201
19385.5 0.519173
19388.8 0.519146
19392.1 0.519118
19395.4 0.51909
19398.7 0.519062
19402 0.519034
19405.3 0.519006
19408.6 0.518977
19411.9 0.518948
19415.2 0.51892
19418.5 0.518891
19421.7 0.518862
19425 0.518832
19428.3 0.518803
19431.6 0.518774
19434.9 0.518744
19438.2 0.518715
19441.5 0.518685
19444.8 0.518655
19448.1 0.518625
19451.4 0.518596
19454.7 0.518566
19458 0.518536
19461.3 0.518505
19464.6 0.518475
19467.9 0.518445
19471.2 0.518415
19474.5 0.518384
19477.8 0.518354
19481.1 0.518323
19484.3 0.518293
19487.6 0.518262
19490.9 0.518232
19494.2 0.518201
19497.5 0.51817
19500.8 0.51814
19504.1 0.518109
19507.4 0.518078
19510.7 0.518047
19514 0.518016
19517.3 0.517985
19520.6 0.517954
19523.9 0.517923
19527.2 0.517892
