W N1 N2
14550.7 -0.000534459 -0.000592123
14559.1 -0.000516518 -0.000608407
14567.4 -0.000501676 -0.000623093
14575.7 -0.00048761 -0.000637154
14584 -0.000474303 -0.000650484
14592.3 -0.0004632 -0.000662726
14600.7 -0.000455389 -0.000682187
14609 -0.00044099 -0.000703646
14617.3 -0.000423227 -0.000724717
14625.6 -0.000402422 -0.000745372
14633.9 -0.000377623 -0.000766003
14642.3 -0.000344923 -0.000779906
14650.6 -0.000316228 -0.000787099
14658.9 -0.000289442 -0.000791911
14667.2 -0.000264402 -0.000794446
14675.5 -0.000242207 -0.000794476
14683.9 -0.000227622 -0.000797771
14692.2 -0.000207788 -0.000806465
14700.5 -0.000185166 -0.00081419
14708.8 -0.000160801 -0.000820847
14717.1 -0.000134718 -0.000826618
14725.5 -0.000104164 -0.000830161
14733.8 -7.51137e-05 -0.000827125
14742.1 -4.81697e-05 -0.000822158
14750.4 -2.27912e-05 -0.000815576
14758.7 9.09875e-07 -0.000807451
14767.1 2.11824e-05 -0.00079793
14775.4 4.04934e-05 -0.000791835
14783.7 6.07626e-05 -0.000785376
14792 8.1248e-05 -0.000778311
14800.3 0.0001019 -0.000770531
14808.7 0.000123127 -0.000761631
14817 0.000142559 -0.00074973
14825.3 0.000160136 -0.000738714
14833.6 0.000177213 -0.000728126
14841.9 0.000194228 -0.000717928
14850.2 0.000211978 -0.000708313
14858.6 0.000233161 -0.000696118
14866.9 0.000251158 -0.000680399
14875.2 0.000267254 -0.000664312
14883.5 0.000282078 -0.000648076
14891.8 0.000296059 -0.00063186
14900.2 0.000310649 -0.000615311
14908.5 0.000323604 -0.000596166
14916.8 0.000334494 -0.000576663
14925.1 0.000343679 -0.000556994
14933.4 0.000351167 -0.000537252
14941.8 0.00035644 -0.000517481
14950.1 0.000360092 -0.000500455
14958.4 0.000364181 -0.000483812
14966.7 0.000367808 -0.000467393
14975 0.000370844 -0.000451277
14983.4 0.000373263 -0.000435619
14991.7 0.000375776 -0.000420694
15000 0.00037811 -0.000405181
15008.3 0.000379685 -0.000389532
15016.6 0.000380444 -0.000373862
15025 0.000380229 -0.000358171
15033.3 0.000377917 -0.000342548
15041.6 0.000375105 -0.000329864
15049.9 0.000372914 -0.000317804
15058.2 0.000370913 -0.000306196
15066.6 0.000369067 -0.00029501
15074.9 0.000367581 -0.000284285
15083.2 0.000367088 -0.000272686
15091.5 0.00036539 -0.000260407
15099.8 0.00036296 -0.000248198
15108.2 0.000359838 -0.000236051
15116.5 0.000355835 -0.000223878
15124.8 0.000349393 -0.000212038
15133.1 0.000343145 -0.000203643
15141.4 0.000337914 -0.000195844
15149.8 0.0003332 -0.000188436
15158.1 0.000328904 -0.000181346
15166.4 0.000325145 -0.000174546
15174.7 0.00032213 -0.00016695
15183 0.000318322 -0.00015905
15191.3 0.000314157 -0.000151272
15199.7 0.000309655 -0.000143586
15208 0.000304665 -0.000135927
15216.3 0.000298064 -0.00012849
15224.6 0.000291727 -0.000123768
15232.9 0.000286409 -0.00011949
15241.3 0.000281707 -0.000115524
15249.6 0.000277601 -0.000111847
15257.9 0.000274359 -0.000108502
15266.2 0.000272971 -0.000103805
15274.5 0.000270181 -9.77261e-05
15282.9 0.000266707 -9.1641e-05
15291.2 0.000262745 -8.55878e-05
15299.5 0.000258288 -7.95662e-05
