W E1 E2
14420.4 -0.0031514 -0.00168413
14425.4 -0.00315756 -0.00173674
14430.4 -0.00316278 -0.00179054
14435.4 -0.00316699 -0.00184554
14440.5 -0.00317012 -0.00190173
14445.5 -0.0031721 -0.00195914
14450.5 -0.00317285 -0.00201776
14455.5 -0.00317229 -0.00207758
14460.5 -0.00317034 -0.00213859
14465.6 -0.00316691 -0.0022008
14470.6 -0.00316192 -0.00226418
14475.6 -0.00315526 -0.00232871
14480.6 -0.00314685 -0.00239436
14485.7 -0.00313658 -0.00246111
14490.7 -0.00312436 -0.00252891
14495.7 -0.00311009 -0.00259773
14500.7 -0.00309365 -0.0026675
14505.7 -0.00307495 -0.00273817
14510.8 -0.00305388 -0.00280966
14515.8 -0.00303033 -0.0028819
14520.8 -0.00300419 -0.00295481
14525.8 -0.00297536 -0.00302828
14530.8 -0.00294374 -0.0031022
14535.9 -0.00290922 -0.00317647
14540.9 -0.00287171 -0.00325094
14545.9 -0.00283112 -0.00332549
14550.9 -0.00278736 -0.00339995
14556 -0.00274035 -0.00347417
14561 -0.00269002 -0.00354797
14566 -0.00263632 -0.00362118
14571 -0.00257918 -0.00369359
14576 -0.00251858 -0.00376501
14581.1 -0.00245449 -0.00383521
14586.1 -0.0023869 -0.00390399
14591.1 -0.00231582 -0.00397111
14596.1 -0.00224128 -0.00403634
14601.1 -0.00216331 -0.00409944
14606.2 -0.00208199 -0.00416018
14611.2 -0.00199739 -0.00421831
14616.2 -0.00190962 -0.0042736
14621.2 -0.00181882 -0.00432582
14626.3 -0.00172511 -0.00437473
14631.3 -0.00162868 -0.00442012
14636.3 -0.00152971 -0.00446178
14641.3 -0.00142841 -0.00449951
14646.3 -0.00132502 -0.00453314
14651.4 -0.00121976 -0.00456249
14656.4 -0.00111292 -0.00458743
14661.4 -0.00100475 -0.00460783
14666.4 -0.000895554 -0.00462361
14671.4 -0.000785621 -0.00463467
14676.5 -0.000675255 -0.00464097
14681.5 -0.000564762 -0.0046425
14686.5 -0.000454449 -0.00463924
14691.5 -0.000344622 -0.00463124
14696.6 -0.000235582 -0.00461854
14701.6 -0.000127624 -0.00460123
14706.6 -2.10312e-05 -0.0045794
14711.6 8.39235e-05 -0.0045532
14716.6 0.000186983 -0.00452275
14721.7 0.000287904 -0.00448824
14726.7 0.000386464 -0.00444985
14731.7 0.000482458 -0.00440777
14736.7 0.0005757 -0.00436221
14741.8 0.000666028 -0.0043134
14746.8 0.000753299 -0.00426156
14751.8 0.00083739 -0.00420694
14756.8 0.000918203 -0.00414976
14761.8 0.000995657 -0.00409027
14766.9 0.00106969 -0.00402871
14771.9 0.00114028 -0.00396531
14776.9 0.00120738 -0.00390031
14781.9 0.001271 -0.00383392
14786.9 0.00133115 -0.00376637
14792 0.00138786 -0.00369787
14797 0.00144116 -0.00362863
14802 0.00149111 -0.00355882
14807 0.00153778 -0.00348863
14812.1 0.00158123 -0.00341824
14817.1 0.00162154 -0.0033478
14822.1 0.00165881 -0.00327746
14827.1 0.00169312 -0.00320737
14832.1 0.00172458 -0.00313763
14837.2 0.00175328 -0.00306838
14842.2 0.00177933 -0.00299971
14847.2 0.00180283 -0.00293172
14852.2 0.0018239 -0.0028645
14857.2 0.00184263 -0.00279813
14862.3 0.00185913 -0.00273266
14867.3 0.00187351 -0.00266816
14872.3 0.00188588 -0.00260468
14877.3 0.00189633 -0.00254226
14882.4 0.00190497 -0.00248094
14887.4 0.00191188 -0.00242075
14892.4 0.00191718 -0.00236172
14897.4 0.00192094 -0.00230386
14902.4 0.00192326 -0.00224719
14907.5 0.00192423 -0.00219172
14912.5 0.00192392 -0.00213745
14917.5 0.00192241 -0.00208439
14922.5 0.00191978 -0.00203253
14927.5 0.00191611 -0.00198188
14932.6 0.00191146 -0.00193242
14937.6 0.0019059 -0.00188414
14942.6 0.00189949 -0.00183704
14947.6 0.00189228 -0.0017911
14952.7 0.00188435 -0.0017463
14957.7 0.00187574 -0.00170263
14962.7 0.0018665 -0.00166008
14967.7 0.00185668 -0.00161861
14972.7 0.00184632 -0.00157822
14977.8 0.00183548 -0.00153889
14982.8 0.00182419 -0.00150058
14987.8 0.00181249 -0.00146329
14992.8 0.00180041 -0.00142699
14997.8 0.00178799 -0.00139166
15002.9 0.00177526 -0.00135728
15007.9 0.00176225 -0.00132383
15012.9 0.001749 -0.00129127
15017.9 0.00173552 -0.00125961
15023 0.00172184 -0.0012288
15028 0.00170799 -0.00119884
