W N1 N2
15315.8 0.000259699 -0.000168205
15320.8 0.000257661 -0.000165932
15325.9 0.000255623 -0.000163694
15330.9 0.000253589 -0.000161498
15336 0.000251563 -0.000159349
15341 0.000249548 -0.00015725
15346.1 0.000247548 -0.000155209
15351.1 0.000245571 -0.000153237
15356.2 0.0002437 -0.000151366
15361.2 0.000241908 -0.00014939
15366.3 0.000240087 -0.000147406
15371.3 0.000238251 -0.000145438
15376.4 0.000236407 -0.000143494
15381.4 0.000234556 -0.000141577
15386.4 0.000232701 -0.00013969
15391.5 0.000230842 -0.000137833
15396.5 0.000228979 -0.000136005
15401.6 0.000227107 -0.000134198
15406.6 0.000225185 -0.000132454
15411.7 0.000223285 -0.000130781
15416.7 0.000221401 -0.000129158
15421.8 0.00021953 -0.000127582
15426.8 0.000217675 -0.000126053
15431.9 0.000215835 -0.000124572
15436.9 0.000214015 -0.000123141
15442 0.000212218 -0.000121765
15447 0.000210457 -0.000120457
15452.1 0.000208842 -0.000119204
15457.1 0.000207249 -0.000117841
15462.1 0.000205633 -0.000116474
15467.2 0.000204008 -0.000115118
15472.2 0.000202376 -0.000113779
15477.3 0.000200742 -0.000112459
15482.3 0.000199104 -0.000111157
15487.4 0.000197463 -0.000109873
15492.4 0.000195815 -0.000108601
15497.5 0.000194129 -0.000107306
15502.5 0.000192338 -0.000106154
15507.6 0.000190611 -0.000105087
15512.6 0.000188919 -0.000104074
15517.7 0.000187257 -0.000103107
15522.7 0.000185626 -0.000102183
15527.8 0.000184025 -0.000101301
15532.8 0.000182455 -0.000100464
15537.9 0.000180923 -9.96745e-05
15542.9 0.00017944 -9.89469e-05
15547.9 0.000178125 -9.82625e-05
15553 0.000176837 -9.74428e-05
15558 0.00017553 -9.66081e-05
15563.1 0.000174218 -9.57749e-05
15568.1 0.000172906 -9.49487e-05
15573.2 0.000171598 -9.41318e-05
15578.2 0.000170295 -9.33249e-05
15583.3 0.000168996 -9.25273e-05
15588.3 0.0001677 -9.17362e-05
15593.4 0.000166397 -9.094e-05
15598.4 0.000165039 -9.01973e-05
15603.5 0.000163719 -8.95124e-05
15608.5 0.000162427 -8.8854e-05
15613.6 0.000161158 -8.82168e-05
15618.6 0.000159911 -8.75981e-05
15623.6 0.000158683 -8.69955e-05
15628.7 0.000157473 -8.64064e-05
15633.7 0.00015628 -8.58277e-05
