W TT
17836.9 0.000151952
17845.3 0.000150102
17853.6 0.000148241
17861.9 0.000146374
17870.2 0.000144505
17878.5 0.000142671
17886.9 0.000140863
17895.2 0.000139006
17903.5 0.000137117
17911.8 0.000135197
17920.1 0.000133247
17928.5 0.000131265
17936.8 0.000129241
17945.1 0.000127099
17953.4 0.000124967
17961.7 0.000122866
17970 0.000120783
17978.4 0.000118715
17986.7 0.000116663
17995 0.000114631
18003.3 0.000112635
18011.6 0.000110736
18020 0.000108769
18028.3 0.000106761
18036.6 0.000104723
18044.9 0.000102658
18053.2 0.000100566
18061.6 9.84412e-05
18069.9 9.62633e-05
18078.2 9.40296e-05
18086.5 9.18686e-05
18094.8 8.97369e-05
18103.2 8.76269e-05
18111.5 8.55365e-05
18119.8 8.34669e-05
18128.1 8.14232e-05
18136.4 7.94354e-05
18144.8 7.7433e-05
18153.1 7.53681e-05
18161.4 7.32752e-05
18169.7 7.11607e-05
18178 6.90264e-05
18186.4 6.68718e-05
18194.7 6.46923e-05
18203 6.24587e-05
18211.3 6.02957e-05
18219.6 5.81787e-05
18228 5.60857e-05
18236.3 5.40116e-05
18244.6 5.19554e-05
18252.9 4.99178e-05
18261.2 4.79035e-05
18269.6 4.5936e-05
18277.9 4.38683e-05
18286.2 4.17606e-05
18294.5 3.96322e-05
18302.8 3.74875e-05
18311.1 3.53276e-05
18319.5 3.31518e-05
18327.8 3.09555e-05
18336.1 2.8715e-05
18344.4 2.66312e-05
18352.7 2.45965e-05
18361.1 2.2588e-05
18369.4 2.06011e-05
18377.7 1.86346e-05
18386 1.66895e-05
18394.3 1.47705e-05
18402.7 1.29e-05
18411 1.08333e-05
18419.3 8.68667e-06
18427.6 6.51255e-06
18435.9 4.31725e-06
18444.3 2.10297e-06
18452.6 -1.30222e-07
18460.9 -2.38487e-06
18469.2 -4.67274e-06
18477.5 -6.79322e-06
18485.9 -8.7971e-06
18494.2 -1.07767e-05
18502.5 -1.27382e-05
18510.8 -1.46833e-05
18519.1 -1.66124e-05
18527.5 -1.85234e-05
18535.8 -2.0409e-05
18544.1 -2.24199e-05
18552.4 -2.46215e-05
18560.7 -2.68489e-05
18569.1 -2.90946e-05
18577.4 -3.13558e-05
18585.7 -3.36315e-05
18594 -3.59214e-05
18602.3 -3.82272e-05
18610.6 -4.05107e-05
18619 -4.26429e-05
18627.3 -4.47658e-05
18635.6 -4.68843e-05
18643.9 -4.89998e-05
18652.2 -5.11129e-05
18660.6 -5.32237e-05
18668.9 -5.53319e-05
18677.2 -5.74346e-05
18685.5 -5.96427e-05
18693.8 -6.18724e-05
18702.2 -6.41086e-05
18710.5 -6.63503e-05
18718.8 -6.85972e-05
18727.1 -7.0849e-05
18735.4 -7.31058e-05
18743.8 -7.53682e-05
18752.1 -7.75813e-05
18760.4 -7.97344e-05
18768.7 -8.18853e-05
18777 -8.4035e-05
18785.4 -8.61837e-05
18793.7 -8.83315e-05
18802 -9.04784e-05
18810.3 -9.26243e-05
18818.6 -9.47718e-05
18827 -9.70448e-05
18835.3 -9.93233e-05
18843.6 -0.000101606
18851.9 -0.000103891
18860.2 -0.00010618
18868.6 -0.000108471
18876.9 -0.000110764
18885.2 -0.00011306
18893.5 -0.00011527
18901.8 -0.000117388
18910.1 -0.000119503
18918.5 -0.000121616
18926.8 -0.000123725
18935.1 -0.000125832
18943.4 -0.000127936
18951.7 -0.000130037
18960.1 -0.000132135
18968.4 -0.000134275
18976.7 -0.000136417
18985 -0.000138556
18993.3 -0.000140692
19001.7 -0.000142825
19010 -0.000144954
19018.3 -0.000147079
19026.6 -0.000149199
19034.9 -0.000151266
19043.3 -0.000153184
19051.6 -0.000155097
19059.9 -0.000157004
19068.2 -0.000158905
19076.5 -0.0001608
19084.9 -0.000162688
19093.2 -0.00016457
19101.5 -0.000166445
19109.8 -0.000168333
19118.1 -0.000170232
19126.5 -0.000172123
19134.8 -0.000174006
19143.1 -0.000175882
19151.4 -0.00017775
19159.7 -0.00017961
19168.1 -0.000181461
19176.4 -0.000183302
19184.7 -0.000185041
19193 -0.000186738
19201.3 -0.000188429
19209.7 -0.000190112
19218 -0.000191788
19226.3 -0.000193455
19234.6 -0.000195115
19242.9 -0.000196769
19251.2 -0.00019842
19259.6 -0.000200273
19267.9 -0.000202145
19276.2 -0.000204004
19284.5 -0.000205852
19292.8 -0.000207687
19301.2 -0.00020951
19309.5 -0.000211318
19317.8 -0.000213109
19326.1 -0.000214872
19334.4 -0.000216173
19342.8 -0.000217442
19351.1 -0.000218709
19359.4 -0.00021997
19367.7 -0.000221224
19376 -0.000222472
19384.4 -0.000223715
19392.7 -0.000224954
19401 -0.000226198
19409.3 -0.000227788
19417.6 -0.000229384
19426 -0.000230963
19434.3 -0.000232526
19442.6 -0.000234075
19450.9 -0.00023561
19459.2 -0.000237129
19467.6 -0.000238631
19475.9 -0.00024011
19484.2 -0.00024133
19492.5 -0.000242509
19500.8 -0.000243682
19509.2 -0.000244847
19517.5 -0.000246004
19525.8 -0.000247153
19534.1 -0.000248293
19542.4 -0.000249425
19550.7 -0.000250552
19559.1 -0.000251779
19567.4 -0.000253033
19575.7 -0.000254272
19584 -0.000255497
19592.3 -0.00025671
19600.7 -0.000257911
19609 -0.000259099
19617.3 -0.000260275
19625.6 -0.000261439
19633.9 -0.000262573
19642.3 -0.000263681
19650.6 -0.000264778
19658.9 -0.000265864
19667.2 -0.00026694
19675.5 -0.000268003
19683.9 -0.000269056
19692.2 -0.000270095
19700.5 -0.000271122
19708.8 -0.000272102
19717.1 -0.000272962
19725.5 -0.000273821
19733.8 -0.000274674
19742.1 -0.00027552
19750.4 -0.000276361
19758.7 -0.000277195
19767.1 -0.000278023
19775.4 -0.000278848
19783.7 -0.00027967
19792 -0.000280555
19800.3 -0.000281444
